skills/context/buzzwords/action_verbs/verb_tense/target
JavaScript/I have developed interactive front-end applications using JavaScript./ interactive; front-end; applications/ developed/ past/1.0
JavaScript/ We've implemented solutions using JavaScript, but TypeScript remains unexplored./ implemented solutions using JavaScript; TypeScript remains unexplored/ implemented solutions using JavaScript/ present/ 1.0
TypeScript/ We've implemented solutions using JavaScript, but TypeScript remains unexplored./ implemented solutions using JavaScript; TypeScript remains unexplored/ TypeScript remains unexplored/ present/ 0.0
Java/ We've delved into Java programming, but Kotlin is still unfamiliar territory./ delved into Java programming; Kotlin is still unfamiliar territory/ delved into Java programming/ present/ 1.0
Kotlin/ We've delved into Java programming, but Kotlin is still unfamiliar territory./ delved into Java programming; Kotlin is still unfamiliar territory/ Kotlin is still unfamiliar territory/ present/ 0.0
HTML/ We've developed websites using HTML, but CSS hasn't been on our radar./ developed websites using HTML; CSS hasn't been on our radar/ developed websites using HTML/ present/ 1.0
CSS/ We've developed websites using HTML, but CSS hasn't been on our radar./ developed websites using HTML; CSS hasn't been on our radar/ CSS hasn't been on our radar/ present/ 0.0
SQL/ We've employed SQL in our projects, but NoSQL databases remain unexplored./ employed SQL in our projects; NoSQL databases remain unexplored/ employed SQL in our projects/ present/ 1.0
NoSQL/ We've employed SQL in our projects, but NoSQL databases remain unexplored./ employed SQL in our projects; NoSQL databases remain unexplored/ NoSQL databases remain unexplored/ present/ 0.0
PHP/ We've developed websites with PHP, but Ruby on Rails remains unexplored./ developed websites with PHP; Ruby on Rails remains unexplored/ developed websites with PHP/ present/ 1.0
Ruby on Rails/ We've developed websites with PHP, but Ruby on Rails remains unexplored./ developed websites with PHP; Ruby on Rails remains unexplored/ Ruby on Rails remains unexplored/ present/ 0.0
C++/ We've programmed in C++, but Rust hasn't been on our radar./ programmed in C++; Rust hasn't been on our radar/ programmed in C++/ present/ 1.0
Rust/ We've programmed in C++, but Rust hasn't been on our radar./ programmed in C++; Rust hasn't been on our radar/ Rust hasn't been on our radar/ present/ 0.0
React Native/ We've built apps with React Native, but haven't explored Flutter yet./ built apps with React Native; haven't explored Flutter yet/ built, explored/ present/ 1.0
Flutter/ We've built apps with React Native, but haven't explored Flutter yet./ built apps with React Native; haven't explored Flutter yet/ built, explored/ present/ 0.0
Python/ I've been exploring various programming languages lately. While I'm proficient in Python and have some experience with Java, I've recently started diving into Go./ exploring; various programming languages; proficient; experience; started diving into/ exploring, started diving into/ present/ 1.0
JavaScript/ In my web development journey, I've worked extensively with JavaScript and have dabbled a bit in TypeScript, but I'm still polishing my skills in HTML./ web development journey; extensively; dabbled; polishing/ worked, dabbled, polishing/ present/ 1.0
React Native/ As a mobile app developer, I have experience with React Native and I'm excited to explore Flutter next, although I haven't had any exposure to Xamarin yet./ mobile app developer; experience; excited; explore; exposure/ have, excited, explore/ present/ 1.0
Java/ While I'm proficient in Python, having built several projects with it, I have limited experience with Java and would rate my knowledge as basic./ proficient; built several projects; limited experience; basic/ basic/ present/ 0.0
TypeScript/ I'm comfortable with JavaScript, but I haven't dabbled in TypeScript yet./ comfortable with JavaScript; haven't dabbled in TypeScript yet/ haven't dabbled in TypeScript yet/ present/ 0.0
CSS/ I've worked with HTML, but I haven't explored CSS yet./ worked with HTML; haven't explored CSS yet/ haven't explored CSS yet/ present/ 0.0
Python/ I've been exploring various programming languages lately. While I'm proficient in Python and have some experience with Java, I've recently started diving into Go./ exploring; various programming languages; proficient; experience; started diving into/ exploring, started diving into/ present/ 1.0
JavaScript/ In my web development journey, I've worked extensively with JavaScript and have dabbled a bit in TypeScript, but I'm still polishing my skills in HTML./ web development journey; extensively; dabbled; polishing/ worked, dabbled, polishing/ present/ 1.0
React Native/ As a mobile app developer, I have experience with React Native and I'm excited to explore Flutter next, although I haven't had any exposure to Xamarin yet./ mobile app developer; experience; excited; explore; exposure/ have, excited, explore/ present/ 1.0
Python/ Having extensively used Python for data analysis tasks, I would rate my knowledge as advanced, although I have only surface level familiarity with JavaScript./ extensively used; data analysis tasks; advanced; basic familiarity; JavaScript/ advanced/ present/ 1.0
Docker/ I'm quite comfortable with Docker, having utilized it extensively to containerize applications in various projects. However, my experience with Kubernetes is more limited, with only basic exposure and experimentation. I would rate my Docker skills as advanced, while my understanding of Kubernetes is at an intermediate stage./ quite comfortable; utilized extensively; containerize applications; basic exposure and experimentation; advanced; intermediate stage/ advanced/ present/ 1.0
Python/ I'm good with Python because I've used it for a while, but I haven't really tried Go yet./ good with Python; used it for a while; haven't really tried Go yet/ good with Python/ present/ 1.0
JavaScript/ I've used JavaScript, but I haven't experimented with TypeScript./ used JavaScript; haven't experimented with TypeScript yet/ haven't experimented with TypeScript yet/ present/ 1.0
Java/ While I'm proficient in Python, having built several projects with it, I have limited experience with Java and would rate my knowledge as basic./ proficient; built several projects; limited experience; basic/ basic/ present/ 0.0
TypeScript/ I'm comfortable with JavaScript, but I haven't dabbled in TypeScript yet./ comfortable with JavaScript; haven't dabbled in TypeScript yet/ haven't dabbled in TypeScript yet/ present/ 0.0
CSS/ I've worked with HTML, but I haven't explored CSS yet./ worked with HTML; haven't explored CSS yet/ haven't explored CSS yet/ present/ 0.0
Java/ While I'm proficient in Python, I have only basic knowledge of Java, mainly using it for simple scripting tasks./ proficient; basic knowledge; simple scripting tasks/ basic/ present/ 0.0
PHP/ I'm proficient in PHP, having developed multiple web applications with it, but I have limited experience with Ruby on Rails./ proficient; developed multiple web applications; limited experience; basic/ basic/ present/ 1.0
Ruby on Rails/ I'm proficient in PHP, having developed multiple web applications with it, but I have limited experience with Ruby on Rails and would rate my knowledge as basic./ proficient; developed multiple web applications; limited experience; basic/ basic/ present/ 0.0
